entraîneur de chevaux;Besnard Michaud SARL;239023523804378;A+;wmace;Isaac Joubert;M;rmartins@free.fr;1981-04-09;63581743;0;0;67349;0;PhD;Private;Minivan;yes;3;18.0;Highly Urban/ Urban;2021-11-16 05:40:26;complet;dev_integral;280.62;6 Rue Anatole France 46100 Figeac;44.609788;2.024848
orthoptiste;Costa Prévost S.A.R.L.;296106544039387;B-;lesagejosephine;Louis de la Rémy;M;qberthelot@tiscali.fr;1985-01-06;132761049;0;0;91449;257252;z_High School;Commercial;Minivan;yes;0;1.0;Highly Urban/ Urban;2020-09-04 14:49:45;complet;dev_integral;294.62;22 Place Saint-Pierre 56130 Marzan;47.541453;-2.323336
technicien en optique de précision;Neveu Courtois S.A.;267079402854977;AB+;bverdier;Alain Roux;M;epierre@orange.fr;1941-06-19;921317019;0;0;52881;0;Bachelors;Private;Van;yes;2;10.0;Highly Urban/ Urban;2020-01-12 02:23:56;complet;dev_express;281.6;75 Rue de Lyon 42130 Boën-sur-Lignon;45.741572;4.007055
archiviste;Gonzalez S.A.S.;221015212171525;B-;hrossi;Claire Barthelemy;F;arthur84@bouygtel.fr;1963-09-18;727598473;0;1;16039;124191;z_High School;Private;z_SUV;no;3;10.0;Highly Urban/ Urban;2020-07-31 07:49:06;complet;dev_premium;373.47;22 Rue du Milieu 39380 Vaudrey;46.975207;5.619588
audioprothésiste;Barre S.A.;189082123143408;O+;costalorraine;Yves-Jérôme Rodriguez;M;isaac35@sfr.fr;1984-12-25;450221861;0;0;;306251;<High School;Private;Minivan;yes;0;6.0;Highly Urban/ Urban;2020-02-24 06:11:10;incomplet;dev_premium;380.4;27 Route de Soulac 33930 Vendays-Montalivet;45.360217;-1.066036
responsable biométrie;Jacques;241022123148529;O+;marcelleribeiro;Céline Clerc;F;vrousset@hotmail.fr;2013-10-24;743146596;0;0;114986;243925;PhD;Private;z_SUV;no;3;17.0;Highly Urban/ Urban;2020-11-26 13:37:21;incomplet;dev_express;278.3;17 Rue des Sables Blancs 29241 Locquirec;48.691034;-3.664435
animateur du patrimoine;Poirier;248096444521454;O-;lucyaubry;Catherine Garnier;F;thibautbourdon@club-internet.fr;1999-09-25;871024631;0;1;125301;0;Bachelors;Commercial;Sports Car;no;0;7.0;Highly Urban/ Urban;2022-02-25 16:13:38;complet;dev_integral;323.39;277 Rue du Bourg 40180 Oeyreluy;43.672066;-1.080329
déclarant en douane;Dumont SA;262098708543415;AB-;mailletleon;Océane Laurent;F;pvasseur@bouygtel.fr;1959-04-15;792300541;0;0;18755;;<High School;Private;z_SUV;no;0;1.0;Highly Urban/ Urban;2022-02-25 17:02:54;incomplet;dev_premium;354.37;6114 La Couosto 48600 Grandrieu;44.781533;3.647744
préparateur en pharmacie;Lemaître Charles et Fils;296045819475520;AB+;sylvie17;Susan du Besson;F;pascalisabelle@ifrance.com;1932-01-28;7945239;1;1;50815;0;z_High School;Private;Minivan;no;2;1.0;Highly Urban/ Urban;2022-05-24 21:07:34;complet;dev_express;257.56;5 Chemin des Echardons 3000 Coulandon;46.54132;3.244618
ingénieur en électronique numérique;Boulanger Pereira SA;214036100195624;B-;audrey43;Noémi Buisson;F;carregabrielle@voila.fr;1971-01-23;3577610;0;2;43486;0;z_High School;Commercial;z_SUV;no;0;10.0;z_Highly Rural/ Rural;2020-03-13 14:18:58;complet;dev_integral;296.88;25 Avenue Émile Zola 94100 Saint-Maur-des-Fossés;48.802063;2.484593
